"id";"name";"affiliation";"citedby";"pub_title";"pub_year";"citations";"pub_author";"eprint"
92;"Danon Clemes Cardoso";"Professor Adjunto Universidade Federal de Ouro Preto";294;"The role of fusion in ant chromosome evolution: insights from cytogenetic analysis using a molecular phylogenetic approach in the genus Mycetophylax";"2014";19;"Danon Clemes Cardoso and Silvia das Graças Pompolo and Maykon Passos Cristiano and Mara Garcia Tavares";"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0087473"
93;"Annelyn Torres-Reveron";"University of Texas at Rio Grande Valley-School of Medicine";600;"Stress differentially alters mu opioid receptor density and trafficking in parvalbumin‐containing interneurons in the female and male rat hippocampus";"2013";36;"Teresa A Milner and Suzanne R Burstein and Gina F Marrone and Sana Khalid and Andreina D Gonzalez and Tanya J Williams and Kathryn C Schierberl and Annelyn Torres‐Reveron and Keith L Gonzales and Bruce S Mcewen and Elizabeth M Waters";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3778032/"
94;"Qinghe Wu";"University of Chicago";2312;"Covalently Bound Clusters of Alpha-Substituted PDI Rival Electron Acceptors to Fullerene for Organic Solar Cells";"2016";287;"Qinghe Wu and Donglin Zhao and Alexander M Schneider and Wei Chen and Luping Yu";"https://www.osti.gov/servlets/purl/1352625"
95;"Javid Gaziev";"BMT Program Director. National Center for Cancer Care and Research. Hamad Medical Corporation. Doha";3221;"Effects of iron overload and hepatitis C virus positivity in determining progression of liver fibrosis in thalassemia following bone marrow transplantation";"2002";266;"Emanuele Angelucci and Pietro Muretto and Antonio Nicolucci and Donatella Baronciani and Buket Erer and Javid Gaziev and Marta Ripalti and Pietro Sodani and Silvia Tomassoni and Giuseppe Visani and Guido Lucarelli";"http://www.bloodjournal.org/content/bloodjournal/100/1/17.full.pdf"
96;"Xiaoyi Ma";"University of Pennsylvania";542;"Creating annotation tools with the annotation graph toolkit";"2002";26;"Kazuaki Maeda and Steven Bird and Xiaoyi Ma and Haejoong Lee";""
97;"Jennifer Steeves";"York MRI Facility, Centre for Vision Research, York University";1011;"Contrast letter thresholds in the non-affected eye of strabismic and unilateral eye enucleated subjects";"1996";45;"MJ Reed and JKE Steeves and MJ Steinbach and S Kraft and B Gallie";""
98;"Michele De Bastiani";"Istituto Italiano di Tecnologia";2566;"The impact of the crystallization processes on the structural and optical properties of hybrid perovskite films for photovoltaics";"2014";195;"Giulia Grancini and Sergio Marras and Mirko Prato and Cinzia Giannini and Claudio Quarti and Filippo De Angelis and Michele De Bastiani and Giles E Eperon and Henry J Snaith and Liberato Manna and Annamaria Petrozza";"https://ora.ox.ac.uk/objects/uuid:eb05a653-5bce-4380-bd92-61225bb5e478/download_file?safe_filename=The%2Bimpact%2Bof%2Bthe%2Bcrystallization%2Bprocesses%2Bon%2Bthe%2Bstructural%2Band%2Boptical%2Bproperties%2Bof%2Bhybrid%2Bperovskite%2Bfilms%2Bfor%2Bphotovol.pdf&file_format=application%2Fpdf&type_of_work=Journal+article"
99;"Antonio D'Ambrosio";"Associate Professor, Department of Economics and Statistics University of Naples Federico II";572;"Data-mining techniques for exploratory analysis of pedestrian crashes";"2011";60;"Alfonso Montella and Massimo Aria and Antonio D'Ambrosio and Filomena Mauriello";"https://www.researchgate.net/profile/Alfonso_Montella/publication/275852686_Data-Mining_Techniques_for_Exploratory_Analysis_of_Pedestrian_Crashes/links/5681426d08ae051f9aec376f/Data-Mining-Techniques-for-Exploratory-Analysis-of-Pedestrian-Crashes.pdf"
100;"Kazuhiro Iida";"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan";1005;"Mechanism for generating peaks and notches of head-related transfer functions in the median plane";"2012";66;"Hironori Takemoto and Parham Mokhtari and Hiroaki Kato and Ryouichi Nishimura and Kazuhiro Iida";"https://pdfs.semanticscholar.org/fe8f/e64a82a05f7c39f558cfb1174eb009410ec4.pdf"
101;"Elizabeth Thomson";"Charles Sturt University";404;"Cross-cultural studies of attitudes and beliefs";"1970";85;"Andrew R Davidson and Elizabeth Thomson";""
102;"Claudio Viotti";"School of Mathematical Sciences, University College Dublin";359;"Streamwise oscillation of spanwise velocity at the wall of a channel for turbulent drag reduction";"2009";72;"Claudio Viotti and Maurizio Quadrio and Paolo Luchini";""
103;"thaddaus hellwig";"Unknown affiliation";278;"301: retrospective evaluation of the incidence of vancomycin and/or piperacillin-tazobactam induced acute renal failure";"2011";25;"Thaddaus Hellwig and Rhonda Hammerquist and Beth Loecker and Jaime Shields";""
104;"Niels Johannesen";"University of Copenhagen";1033;"Who owns the wealth in tax havens? Macro evidence and implications for global inequality";"2017";96;"Annette Alstadsæter and Niels Johannesen and Gabriel Zucman";"http://gabriel-zucman.eu/files/AJZ2017b.pdf"
105;"Liangzhi chen";"PhD student, University of Helsinki";30;"Stress and deformation characteristics of transmission tower foundations in permafrost regions along the Qinghai–Tibet Power Transmission Line";"2016";14;"Zhi Wen and Qihao Yu and Mingli Zhang and Ke Xue and Liangzhi Chen and Desheng Li";""
106;"Sylvie Aubry";"Research Staff, Lawrence Livermore National Laboratory";1028;"The mechanics of deformation–induced subgrain–dislocation structures in metallic crystals at large strains";"2003";63;"S Aubry and M Ortiz";""
107;"Christopher Jarrold";"Professor in Cognitive Development";10480;"The complexities of complex span: explaining individual differences in working memory in children and adults.";"2003";479;"Donna M Bayliss and Christopher Jarrold and Deborah M Gunn and Alan D Baddeley";"https://www.researchgate.net/profile/Chris_Jarrold/publication/10839515_The_Complexities_of_Complex_Span_Explaining_Individual_Differences_in_Working_Memory_in_Children_and_Adults/links/09e41508e5f379db1c000000/The-Complexities-of-Complex-Span-Explaining-Individual-Differences-in-Working-Memory-in-Children-and-Adults.pdf"
108;"Nicolas Le Poul";"CNRS Researcher, UMR 6521, University of Brest, France";720;"Electrochemical behavior of the tris (pyridine)− Cu funnel complexes: An overall induced-fit process involving an entatic state through a supramolecular stress";"2005";38;"Nicolas Le Poul and Morgan Campion and Guillaume Izzet and Bénédicte Douziech and Olivia Reinaud and Yves Le Mest";""
109;"Salem Djedidi";"Researcher, Tokyo University of Agriculture and Technology";175;"Physiological and genetic characterization of rice nitrogen fixer PGPR isolated from rhizosphere soils of different crops";"2014";43;"Safiullah Habibi and Salem Djedidi and Kunlayakorn Prongjunthuek and Md Firoz Mortuza and Naoko Ohkama-Ohtsu and Hitoshi Sekimoto and Tadashi Yokoyoma";""
110;"Amir Hosein Faghihi Kashani";"iran university of medical sciences";116;"Psychometric properties of a standardized questionnaire of knowledge, attitude, and practice of Iranian medical specialists about viral hepatitis";"2012";12;"Shahin Ghasemi and Ali Kabir and Mojtaba Ansari Jafari and Mohammad Jalali and Afshin Amini and Amir Hossein Faghihi-Kashani and Seyed Moayed Alavian";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3580055/"
111;"Jorge Charco Aguirre";"Universidad de Guayaquil";2;"Deep learning based camera pose estimation in multi-view environment";"2018";2;"Jorge L Charco and Boris X Vintimilla and Angel D Sappa";"http://www.cvc.uab.es/~asappa/publications/C__IEEE_SITIS_2018_a.pdf"
112;"Camila Lorenz";"Post-doc at School of Public Health - University of Sao Paulo";146;"Altitudinal population structure and microevolution of the malaria vector Anopheles cruzii (Diptera: Culicidae)";"2014";14;"Camila Lorenz and Tatiani Cristina Marques and Maria Anice Mureb Sallum and Lincoln Suesdek";""
113;"Gilber Ricardo Rosa";"Escola de Química e Alimentos, Universidade Federal do Rio Grande - FURG";290;"A superior non-symmetrical NCP pincer type palladacycle catalyst precursor for the coupling of aryl boronic acids with aryl chlorides";"2003";50;"Gilber R Rosa and Gunter Ebeling and Jairton Dupont and Adriano L Monteiro";"https://www.researchgate.net/profile/Gilber_Rosa/publication/236167990_A_Superior_Non-Symmetrical_NCP_Pincer_Type_Palladacycle_Catalyst_Precursor_for_the_Coupling_of_Aryl_Boronic_Acids_with_Aryl_Chlorides/links/0c960516c09a894779000000.pdf"
114;"Jacques andre astolfi";"Unknown affiliation";1103;"An experimental study of unsteady partial cavitation";"2004";148;"Jean-Baptiste Leroux and Jacques André Astolfi and Jean Yves Billard";""
115;"Kenneth Loh";"University of California, San Diego";4119;"Performance monitoring of the Geumdang Bridge using a dense network of high-resolution wireless sensors";"2006";282;"Jerome P Lynch and Yang Wang and Kenneth J Loh and Jin-Hak Yi and Chung-Bang Yun";"https://deepblue.lib.umich.edu/bitstream/handle/2027.42/49011/sms6_6_008.pdf?sequence=2&isAllowed=y"
116;"Jennifer E Johnson";"Michigan State University";2886;"Epidemiology of trauma, post-traumatic stress disorder (PTSD) and co-morbid disorders in Chile";"2006";124;"Caron Zlotnick and Jennifer Johnson and Robert Kohn and Benjamin Vicente and Pedro Rioseco and Sandra Saldivia";"https://www.researchgate.net/profile/Jennifer_Johnson3/publication/263602591_Epidemiology_of_trauma_posttraumatic_stress_disorder_PTSD_and_comorbid_disorder_in_Chile/links/0c96053c43fa7400b4000000.pdf"
117;"László Oláh";"Debreceni Egyetem, Neurológiai Tanszék";2661;"GTPase RhoB: an early predictor of neuronal death after transient focal ischemia in mice";"2001";73;"Thorsten Trapp and Laszlo Oláh and Irmgard Hölker and Michael Besselmann and Christine Tiesler and Keiichiro Maeda and Konstantin-Alexander Hossmann";""
118;"Claus Brøndgaard Madsen";"Associate Professor, lektor, Aalborg University";1382;"Virtual Space: spatiality in virtual inhabited 3D worlds";"2002";64;"JF Jensen and E Kjems and N Lehmann and Claus Madsen";""
119;"Jian-Sheng Wang";"Department of Physics, National University of Singapore";14812;"Replica Monte Carlo simulation of spin-glasses";"1986";1580;"Robert H Swendsen and Jian-Sheng Wang";"https://www.researchgate.net/profile/Robert_Swendsen/publication/13255490_Replica_Monte_Carlo_Simulation_of_Spin-Glasses/links/0046352309b5f54715000000.pdf"
120;"Krasimir Tonchev";"Technical University of Sofia";97;"Facial expression classification using supervised descent method combined with PCA and SVM";"2014";6;"Agata Manolova and Nikolay Neshov and Stanislav Panev and Krasimir Tonchev";"https://www.researchgate.net/profile/Agata_Manolova/publication/295148547_Facial_Expression_Classification_Using_Supervised_Descent_Method_Combined_With_PCA_and_SVM/links/5717a34308ae30c3f9f16fbc.pdf"
121;"Parisa Fathi Rezaei";"University of Maragheh";228;"Chitosan prevents oxidative stress-induced amyloid β formation and cytotoxicity in NT2 neurons: involvement of transcription factors Nrf2 and NF-κB";"2010";76;"Fariba Khodagholi and Bahareh Eftekharzadeh and Nader Maghsoudi and Parisa Fathi Rezaei";""
122;"Ugur Yaramanci";"Berlin University of Technology em.";2556;"Assessment of the reliability of 2D inversion of apparent resistivity data";"2000";90;"Abel I Olayinka and Ugur Yaramanci";"http://www.academia.edu/download/41781566/Assessment_of_the_reliability_of_2D_inve20160130-3975-rtzxeh.pdf"
123;"Annelyn Torres-Reveron";"University of Texas at Rio Grande Valley-School of Medicine";600;"Hippocampal dynorphin immunoreactivity increases in response to gonadal steroids and is positioned for direct modulation by ovarian steroid receptors";"2009";34;"Annelyn Torres-Reveron and Sana Khalid and Tanya J Williams and Elizabeth M Waters and Luis Jacome and Victoria N Luine and Carrie T Drake and Bruce S McEwen and Teresa A Milner";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2647575/"
124;"Sandra Saavedra";"University of Hartford";641;"Learning about gravity: segmental assessment of upright control as infants develop independent sitting";"2012";48;"Sandra L Saavedra and Paul van Donkelaar and Marjorie H Woollacott";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3545022/"
125;"Qinghe Wu";"University of Chicago";2312;"Rational design of porous conjugated polymers and roles of residual palladium for photocatalytic hydrogen production";"2016";147;"Lianwei Li and Zhengxu Cai and Qinghe Wu and Wai-Yip Lo and Na Zhang and Lin X Chen and Luping Yu";""
126;"Biswajit Roy";"NDVSU";286;"Zinc and male reproduction in domestic animals: A Review";"1970";18;"Biswajit Roy and RPS Baghel and TK Mohanty and Goutam Mondal";"https://www.researchgate.net/profile/T_Mohanty/publication/262828140_Zinc_and_Male_Reproduction_in_Domestic_Animals_A_Review/links/0a85e538f3b7c86642000000/Zinc-and-Male-Reproduction-in-Domestic-Animals-A-Review.pdf"
127;"Kazuhiro Iida";"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan";1005;"The role of reflections from behind the listener in spatial impression";"2001";65;"Masayuki Morimoto and Kazuhiro Iida and Kimihiro Sakagami";"http://www.iida-lab.it-chiba.ac.jp/literature/Research.Papers/09.The.role.of.reflections.from~.AA-2001.pdf"
128;"Michele De Bastiani";"Istituto Italiano di Tecnologia";2566;"Role of microstructure in the electron–hole interaction of hybrid lead halide perovskites";"2015";168;"Giulia Grancini and Ajay Ram Srimath Kandada and Jarvist M Frost and Alex J Barker and Michele De Bastiani and Marina Gandini and Sergio Marras and Guglielmo Lanzani and Aron Walsh and Annamaria Petrozza";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4591469/"
129;"Peter Johansen";"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University";1028;"Detection of epileptic seizures with a modified heart rate variability algorithm based on Lorenz plot";"2015";40;"Jesper Jeppesen and Sándor Beniczky and Peter Johansen and Per Sidenius and Anders Fuglsang-Frederiksen";"https://www.sciencedirect.com/science/article/pii/S1059131114003033"
130;"Anthony Milner";"Australian national university";2452;"Islam and the Muslim state";"1970";93;"Anthony C Milner";""
131;"Elizabeth Thomson";"Charles Sturt University";404;"Communicating conflict: Multilingual case studies of the news media";"2008";41;"Elizabeth Thomson and Peter Robert Rupert White";"http://www.prrwhite.info/prrwhite,%202008%20(and%20Thomson),%20Communicating%20Conflict%20(proofs).pdf"
132;"Li-Wei Ko";"National Chiao Tung University";2858;"Development of wireless brain computer interface with embedded multitask scheduling and its application on real-time driver's drowsiness detection and warning";"2008";155;"Chin-Teng Lin and Yu-Chieh Chen and Teng-Yi Huang and Tien-Ting Chiu and Li-Wei Ko and Sheng-Fu Liang and Hung-Yi Hsieh and Shang-Hwa Hsu and Jeng-Ren Duann";"https://ir.nctu.edu.tw/bitstream/11536/9373/1/000255148600013.pdf"
133;"Nicolas Le Poul";"CNRS Researcher, UMR 6521, University of Brest, France";720;"Synthesis, photovoltaic performances and TD-DFT modeling of push–pull diacetylide platinum complexes in TiO 2 based dye-sensitized solar cells";"1970";29;"Sébastien Gauthier and Bertrand Caro and Françoise Robin-Le Guen and Nattamai Bhuvanesh and John A Gladysz and Laurianne Wojcik and Nicolas Le Poul and Aurélien Planchat and Yann Pellegrin and Errol Blart and Denis Jacquemin and Fabrice Odobel";"https://pubs.rsc.org/en/content/getauthorversionpdf/c4dt00301b"
134;"Danon Clemes Cardoso";"Professor Adjunto Universidade Federal de Ouro Preto";294;"Development of new didactic materials for teaching science and biology: the importance of the new education practices";"1970";15;"Danon Clemes Cardoso and Maykon Passos Cristiano and Camila Orlandi Arent";"http://docsdrive.com/pdfs/sciencepublications/ojbsci/2009/1-5.pdf"
